Id,Price,Year,Mileage,City,State,Vin,Make,Model
84,15285,2014,17671,Boyertown, PA,KL4CJASB0EB785320,Buick,EncoreFWD
85,16495,2015,19495,Lynn, MA,KL4CJESB3FB233318,Buick,EncoreAWD
86,17853,2016,13625,Tallahassee, FL,KL4CJASB2GB539436,Buick,EncoreFWD
87,3950,2003,176935,Elkhart, IN,3G5DA03E93S607122,Buick,RendezvousCXL
88,17400,2016,9368,Siloam Springs, AR,KL4CJASB0GB667433,Buick,EncoreFWD
89,19327,2017,3339,Austin, TX,KL4CJASBXHB009295,Buick,EncoreFWD
90,16343,2016,30716,Grove City, OH,KL4CJASB0GB605580,Buick,EncoreFWD
91,15678,2015,19825,Noblesville, IN,KL4CJASB8FB237597,Buick,EncoreFWD
92,16875,2015,14682,Miami, FL,KL4CJBSB0FB249328,Buick,EncoreConvenience
93,16995,2015,26643,Marietta, GA,KL4CJCSB5FB098766,Buick,EncoreLeather
94,15000,2014,39648,Tarpon Springs, FL,KL4CJBSB4EB643994,Buick,EncoreConvenience
95,15994,2015,16067,Seffner, FL,KL4CJCSB2FB170538,Buick,EncoreLeather
96,14988,2014,29328,Oak Park Heights, MN,KL4CJBSB2EB738067,Buick,EncoreConvenience
97,16475,2015,15612,ORLANDO, FL,KL4CJASB9FB262847,Buick,EncoreFWD
98,16300,2015,25485,Williamstown, NJ,KL4CJASB9FB207136,Buick,EncoreFWD
99,14899,2014,31175,Red Springs, NC,KL4CJASB5EB742866,Buick,EncoreFWD
100,13977,2013,40722,Peoria, AZ,KL4CJBSB6DB121592,Buick,EncoreConvenience
101,20485,2017,5614,New Bern, NC,KL4CJASB2HB014748,Buick,EncoreFWD
102,15392,2015,39846,Madison, WI,KL4CJBSB7FB042726,Buick,EncoreConvenience
103,14484,2014,19263,Belle Glade, FL,KL4CJASB3EB548353,Buick,EncoreFWD
104,14901,2014,26624,Alachua, FL,KL4CJASB8EB544850,Buick,EncoreFWD
105,14376,2015,47383,Henderson, NV,KL4CJBSB0FB261477,Buick,EncoreConvenience
106,16992,2015,14754,Phoenix, AZ,KL4CJASB1FB155422,Buick,EncoreFWD
107,15555,2015,22058,Farmington, NY,KL4CJASB2FB269882,Buick,EncoreFWD
108,16468,2015,11219,Cincinnati, OH,KL4CJBSBXFB072173,Buick,EncoreConvenience
109,16533,2016,28871,Corbin, KY,KL4CJASB1GB696908,Buick,EncoreFWD
110,15595,2015,21745,Denton, TX,KL4CJFSB1FB219276,Buick,EncoreConvenience
111,17659,2016,16669,Lakewood, NJ,KL4CJASBXGB646248,Buick,EncoreFWD
112,16470,2015,20030,Orlando, FL,KL4CJASB9FB090528,Buick,EncoreFWD
113,15377,2015,34393,North Olmsted, OH,KL4CJASB1FB063386,Buick,EncoreFWD
114,17976,,17887,Aurora, MO,KL4CJASB5GB677794,Buick,EncoreFWD
115,17988,2015,1592,Fruitland Park, FL,KL4CJBSB3FB206862,Buick,EncoreConvenience
116,13991,2014,45308,Lutz, Fl,KL4CJBSB4EB662156,Buick,EncoreConvenience
117,16244,2015,22428,Anaheim, CA,KL4CJASB3FB266084,Buick,EncoreFWD
118,15699,2014,24333,New Orleans, LA,KL4CJBSB4EB760684,Buick,EncoreConvenience
119,16999,2015,12558,Port Richey, FL,KL4CJASB6FB267312,Buick,EncoreFWD
120,15599,2015,29851,Norfolk, VA,KL4CJASB8FB210237,Buick,EncoreFWD
121,16495,2015,18905,Metairie, LA,KL4CJASB3FB265968,Buick,EncoreFWD
122,15000,2014,30720,Wilmington, OH,KL4CJBSB9EB535807,Buick,EncoreConvenience
123,18988,2016,15851,Topeka, KS,KL4CJASB6GB724251,Buick,EncoreFWD
124,16991,2015,22450,Tucson, AZ,KL4CJASB7FB208107,Buick,EncoreFWD
125,16488,2015,21713,Zelienople, PA,KL4CJASB5FB253207,Buick,EncoreFWD
126,16230,2015,15010,Buford, GA,KL4CJASB4FB212826,Buick,EncoreFWD
127,14999,2015,38390,Downers Grove, IL,KL4CJBSB4FB153038,Buick,EncoreConvenience
128,15555,2014,26713,New Orleans, LA,KL4CJBSB7EB599442,Buick,EncoreConvenience
129,17466,2016,21450,St. Louis, MO,KL4CJASB1GB601795,Buick,EncoreFWD
130,12910,2014,49608,Oak Lawn, IL,KL4CJASB0EB639189,Buick,EncoreFWD
131,16200,2015,26981,Plainfield, IN,KL4CJBSB4FB147403,Buick,EncoreConvenience
132,16588,2015,21500,Red Springs, NC,KL4CJASB2FB216101,Buick,EncoreFWD
133,16791,2015,25389,Tucson, AZ,KL4CJASB8FB203305,Buick,EncoreFWD
134,17283,2015,13444,Houston, TX,KL4CJASB3FB261807,Buick,EncoreFWD
135,20300,2017,239,Hermitage, PA,KL4CJASB8HB164833,Buick,EncoreFWD
136,14308,2014,39994,Pataskala, OH,KL4CJBSB5EB715687,Buick,EncoreConvenience
137,22846,2017,27351,Delavan, WI,1G4PR5SK5H4110302,Buick,VeranoSport
138,18914,2016,8032,Carmel, IN,KL4CJASB7GB645770,Buick,EncoreFWD
139,16188,2015,19877,Fishers, IN,KL4CJASB2FB222447,Buick,EncoreFWD
140,17500,2015,19103,Cranston, RI,KL4CJESB5FB268619,Buick,EncoreAWD
141,14523,2014,44773,Indianapolis, IN,KL4CJBSB7EB731776,Buick,EncoreConvenience
142,15988,2015,24020,San Jose, CA,KL4CJASB4FB090212,Buick,EncoreFWD
143,17935,2015,14622,Sea Girt, NJ,KL4CJASBXFB137226,Buick,EncoreFWD
144,16890,2016,16702,Temple Hills, MD,KL4CJASB4GB680699,Buick,EncoreFWD
145,18500,2015,3612,Grapevine, TX,KL4CJBSB7FB169170,Buick,EncoreConvenience
146,15999,2015,27410,Conyers, GA,KL4CJASBXFB113489,Buick,EncoreFWD
147,24995,2014,5478,Elizabeth City, NC,1G4PR5SK9E4167159,Buick,VeranoConvenience
148,17512,2015,10728,Amarillo, TX,KL4CJESBXFB170833,Buick,EncoreAWD
149,18879,2017,23261,Las Vegas, NV,KL4CJCSB4HB008459,Buick,EncoreFWD
150,16500,2015,21072,Smyrna, GA,KL4CJASB3FB230489,Buick,EncoreFWD
151,18487,2016,7681,Gladstone, OR,KL4CJASB9GB736412,Buick,EncoreFWD
152,18995,2016,2815,Newnan, GA,KL4CJASB2GB734727,Buick,EncoreFWD
153,15473,2015,43366,Avon, IN,KL4CJASB5FB108216,Buick,EncoreFWD
154,16858,2015,23550,Scottsdale, AZ,KL4CJASB5FB245205,Buick,EncoreFWD
155,,2015,17116,Phoenix, AZ,KL4CJASB1FB184550,Buick,EncoreFWD
156,17000,2015,29353,Placerville, CA,KL4CJASB0FB256466,Buick,EncoreFWD
157,16996,2015,21920,Irwin, PA,KL4CJASB5FB230901,Buick,EncoreFWD
158,18000,2015,8235,Woonsocket, RI,KL4CJESB5FB228542,Buick,EncoreAWD
159,16493,2014,10117,Downers Grove, IL,KL4CJBSB0EB688737,Buick,EncoreConvenience
160,17990,2015,11558,Carmel, IN,KL4CJASB7FB249384,Buick,EncoreFWD
161,18000,2016,13807,Flagstaff, AZ,KL4CJASB8GB570853,Buick,EncoreFWD
162,18460,2016,6177,Matthews, NC,KL4CJASB3GB665286,Buick,EncoreFWD
163,18000,2015,7775,Birmingham, AL,KL4CJASBXFB186667,Buick,EncoreFWD
164,16241,2015,26479,Mission, TX,KL4CJASB3FB062031,Buick,EncoreFWD
165,17477,2015,11637,Ridgeland, MS,KL4CJASB6FB248890,Buick,EncoreFWD
166,15997,2015,29539,Phoenix, AZ,KL4CJBSBXFB164335,Buick,EncoreConvenience
167,16496,2015,29670,Aurora, MO,KL4CJASB7FB037133,Buick,EncoreFWD
168,16969,2015,16939,Houston, TX,KL4CJASB5FB258455,Buick,EncoreFWD
169,17977,2016,14693,Palm Coast, FL,KL4CJASB6GB546406,Buick,EncoreFWD
170,14675,2015,43174,Metairie, LA,KL4CJBSB1FB049722,Buick,EncoreConvenience
171,16988,2015,26718,Ft Walton Beach, FL,KL4CJCSB2FB169101,Buick,EncoreLeather
172,17691,2016,13366,Downers Grove, IL,KL4CJASB8GB645972,Buick,EncoreFWD
173,16995,2015,10635,Spencerport, NY,KL4CJASB6FB141693,Buick,EncoreFWD
174,21995,2015,36912,Albuquerque, NM,1G4PR5SK3F4152402,Buick,VeranoConvenience
175,13490,2014,41678,Ft. Lauderdale, FL,KL4CJASB4EB780685,Buick,EncoreFWD
176,17274,2015,14579,Branson, MO,KL4CJBSB8FB194529,Buick,EncoreConvenience
177,17904,2015,7012,Amarillo, TX,KL4CJASB6FB096044,Buick,EncoreFWD
178,18901,2016,6634,St Peters, MO,KL4CJASB7GB718801,Buick,EncoreFWD
179,17500,2015,11972,Maryville, MO,KL4CJASB4FB139098,Buick,EncoreFWD
180,18300,2015,11941,Clarksville, TN,KL4CJASB5FB270363,Buick,EncoreFWD
181,18640,2016,1737,Homosassa, FL,KL4CJASB4GB701227,Buick,EncoreFWD
182,17649,2015,17524,Lillington, NC,KL4CJASB0FB240476,Buick,EncoreFWD
183,16987,2015,18936,Houston, TX,KL4CJASB1FB193233,Buick,EncoreFWD
184,4977,2003,175975,Houston, TX,3G5DA03E83S521865,Buick,RendezvousCX
185,14500,2015,38441,Charlotte, NC,KL4CJFSB2FB046478,Buick,EncoreConvenience
186,18588,2016,7781,Tyler, TX,KL4CJASB5GB675804,Buick,EncoreFWD
187,17991,2016,15184,Bradenton, FL,KL4CJASB4GB557839,Buick,EncoreFWD
188,17404,2015,17504,Jefferson City, MO,KL4CJESB2FB098431,Buick,EncoreAWD
189,18499,2017,7655,Atlanta, GA,KL4CJCSB6HB007491,Buick,EncoreFWD
190,16995,2015,27385,Austin, TX,KL4CJBSB1FB216161,Buick,EncoreConvenience
191,17785,2015,17453,Oswego, NY,KL4CJESB0FB201197,Buick,EncoreAWD
192,18684,2017,15298,Corbin, KY,KL4CJASB9HB035306,Buick,EncoreFWD
193,16950,2015,9172,Duluth, GA,KL4CJASB1FB237408,Buick,EncoreFWD
194,16500,2014,29404,Duluth, GA,KL4CJCSB7EB565295,Buick,EncoreLeather
195,15991,2016,43864,St. Louis, MO,KL4CJASB6GB675603,Buick,EncoreFWD
196,17494,2016,21192,Newberry, SC,KL4CJBSB9GB540850,Buick,EncoreConvenience
197,14992,2014,36760,Allentown, PA,KL4CJBSB3EB782417,Buick,EncoreConvenience
198,13687,2014,49851,Florissant, MO,KL4CJASB8EB723017,Buick,EncoreFWD
199,16991,2015,22787,Houston, TX,KL4CJBSB4FB154819,Buick,EncoreConvenience
200,15997,2015,22686,Cincinnati, OH,KL4CJBSB1FB263139,Buick,EncoreConvenience
201,16000,2014,26810,Delaware, OH,KL4CJFSB8EB533201,Buick,EncoreConvenience
202,16000,2014,15771,Towanda, PA,KL4CJFSB8EB554923,Buick,EncoreConvenience
203,17880,,17238,Red Springs, NC,KL4CJASB3GB552728,Buick,EncoreFWD
204,17384,2015,16851,Syracuse, NY,KL4CJESB3FB219077,Buick,EncoreAWD
205,16711,2015,16895,Chicago, IL,KL4CJASB8FB258353,Buick,EncoreFWD
206,16980,2015,19353,Hartsville, SC,KL4CJBSB1FB211445,Buick,EncoreConvenience
207,18000,2016,15396,Flagstaff, AZ,KL4CJASB1GB563131,Buick,EncoreFWD
208,16294,2015,21230,Fishers, IN,KL4CJASB7FB121775,Buick,EncoreFWD
209,19900,2016,5,Simi Valley, CA,KL4CJBSB4GB663679,Buick,EncoreConvenience
210,17676,2015,10795,Ridgeland, MS,KL4CJASBXFB241019,Buick,EncoreFWD
211,17853,2016,20050,Anderson, SC,KL4CJASB1GB534695,Buick,EncoreFWD
212,18495,2016,6481,Collinsville, IL,KL4CJBSB9GB620388,Buick,EncoreConvenience
213,15940,2014,22334,Springfield, IL,KL4CJBSB6EB775705,Buick,EncoreConvenience
214,16525,2015,20325,East Dundee, IL,KL4CJASB5FB243230,Buick,EncoreFWD
215,17500,2016,21000,BROKEN ARROW, OK,KL4CJASB2GB643053,Buick,EncoreFWD
216,14980,2015,43461,Muskogee, OK,KL4CJASB5FB194479,Buick,EncoreFWD
217,17200,2015,23389,Hermitage, PA,KL4CJESB8FB249756,Buick,EncoreAWD
218,15990,2014,25889,Palmyra, NJ,KL4CJBSB6EB785599,Buick,EncoreConvenience
219,17000,2015,23977,Columbus, OH,KL4CJBSB7FB102293,Buick,EncoreConvenience
220,18990,2017,2608,Canton, MA,KL4CJASB8HB074470,Buick,EncoreFWD
221,15000,2015,33508,Baltimore, MD,KL4CJASB7FB124627,Buick,EncoreFWD
222,15495,2014,24349,St. Augustine, FL,KL4CJBSB4EB658656,Buick,EncoreConvenience
223,16995,2015,19384,Conway, SC,KL4CJASB5FB225911,Buick,EncoreFWD
224,17499,2015,13317,Bedford, OH,KL4CJBSB9FB154525,Buick,EncoreConvenience
225,14416,2014,53116,Del City, OK,KL4CJCSB6EB775743,Buick,EncoreLeather
226,19000,2016,3879,Lexington, KY,KL4CJBSB9GB708227,Buick,EncoreConvenience
227,13324,2014,68719,Redlands, CA,KL4CJASBXEB649275,Buick,EncoreFWD
228,15000,2014,35813,Plymouth, WI,KL4CJBSB5EB727712,Buick,EncoreConvenience
229,18997,2016,6871,Jonesboro, AR,KL4CJASB2GB528291,Buick,EncoreFWD
230,19842,2017,5280,Anderson, SC,KL4CJASB1HB013736,Buick,EncoreFWD
231,16901,2015,20739,Yuba City, CA,KL4CJASB3FB126763,Buick,EncoreFWD
232,15469,2015,43153,Albuquerque, NM,KL4CJBSB0FB073803,Buick,EncoreConvenience
233,16998,2015,20357,Houston, TX,KL4CJASB3FB237619,Buick,EncoreFWD
234,15713,2014,30674,Parma, OH,KL4CJBSB4EB718063,Buick,EncoreConvenience
235,16996,2015,17856,Pueblo, CO,KL4CJASBXFB057862,Buick,EncoreFWD
236,17630,2015,15619,Newport News, VA,KL4CJBSB3FB252823,Buick,EncoreConvenience
237,16998,2015,19821,Shelby, NC,KL4CJASB9FB269930,Buick,EncoreFWD
238,18684,2016,8120,Tampa, FL,KL4CJASB3GB742626,Buick,EncoreFWD
239,19849,2016,2645,Clearwater, FL,KL4CJBSB8GB718053,Buick,EncoreConvenience
240,17371,2016,24000,Edinburg, TX,KL4CJASBXGB566982,Buick,EncoreFWD
241,15300,2014,25602,Fishers, IN,KL4CJASB4EB744642,Buick,EncoreFWD
242,16995,2015,10133,Wall, NJ,KL4CJESB4FB218391,Buick,EncoreAWD
243,15500,2014,28727,Athens, AL,KL4CJASB3EB592353,Buick,EncoreFWD
244,17251,2015,13894,Houston, TX,KL4CJASB5FB211720,Buick,EncoreFWD
245,15990,2015,33212,Gurnee, IL,KL4CJESB7FB167713,Buick,EncoreAWD
246,17499,2015,16493,Johnston, RI,KL4CJFSB2FB140554,Buick,EncoreConvenience
247,15985,2015,32219,Excelsior Springs, MO,KL4CJASB9FB152784,Buick,EncoreFWD
248,17499,2015,19978,El Paso, TX,KL4CJASB5FB267897,Buick,EncoreFWD
249,17500,2015,18067,Taylor, MI,KL4CJBSB6FB219475,Buick,EncoreConvenience
250,17000,2015,21475,Plainfield, IN,KL4CJBSB2FB255583,Buick,EncoreConvenience
251,17994,2015,12296,Mesa, AZ,KL4CJBSB2FB238749,Buick,EncoreConvenience
252,16288,2015,33761,Delray Beach, FL,KL4CJBSB9FB047717,Buick,EncoreConvenience
253,18000,2016,16760,Edinburg, TX,KL4CJASB4GB618915,Buick,EncoreFWD
254,16634,2015,24636,Fort Lauderdale, FL,KL4CJASB7FB225358,Buick,EncoreFWD
255,17500,2015,14209,Lees Summit, MO,KL4CJASB4FB195154,Buick,EncoreFWD
256,16640,2015,23750,Lakeland, FL,KL4CJASB7FB234934,Buick,EncoreFWD
257,13999,2015,53359,Jacksonville, FL,KL4CJBSB3FB040262,Buick,EncoreConvenience
258,15895,2014,23091,Old Bridge, NJ,KL4CJCSB0EB740891,Buick,EncoreLeather
259,20000,2017,1406,Circleville, OH,KL4CJASB5HB082588,Buick,EncoreFWD
260,16484,2014,21483,Florence, KY,KL4CJCSB1EB625748,Buick,EncoreLeather
261,17900,2015,9529,Bradley, IL,KL4CJASB5FB234883,Buick,EncoreFWD
262,15765,2013,37771,Omaha, NE,KL4CJGSB0DB169618,Buick,EncoreLeather
263,18580,2015,11125,PLANO, TX,KL4CJASB6FB232351,Buick,EncoreFWD
264,17492,2015,18501,The Woodlands, TX,KL4CJASB2FB230600,Buick,EncoreFWD
265,16871,2015,17862,GILBERT, AZ,KL4CJASB9FB265263,Buick,EncoreFWD
266,,2015,45435,Des Moines, IA,KL4CJBSB9FB040010,Buick,EncoreConvenience
267,14450,2015,58501,Somersworth, NH,KL4CJESB2FB087705,Buick,EncoreAWD
268,18000,2016,13317,Charlotte, MI,KL4CJASB8GB595378,Buick,EncoreFWD
269,14655,2014,47994,WINCHESTER, VA,KL4CJBSB2EB730387,Buick,EncoreConvenience
270,18426,2015,9004,Cockeysville, MD,KL4CJESB0FB141132,Buick,EncoreAWD
271,18887,2016,14366,Dawsonville, GA,KL4CJASB4GB516028,Buick,EncoreFWD
272,18000,2016,22321,Grapevine, TX,KL4CJBSBXGB523457,Buick,EncoreConvenience
273,18500,2016,11341,Chicago, IL,KL4CJASB8GB608274,Buick,EncoreFWD
274,19430,2017,5979,Mesa, AZ,KL4CJASB3HB019697,Buick,EncoreFWD
275,16790,2015,13520,Roswell, GA,KL4CJESB4FB230900,Buick,EncoreAWD
276,18524,2016,11100,Hamler, OH,KL4CJASB0GB671000,Buick,EncoreFWD
277,18850,2015,2571,Taylor, MI,KL4CJASB8FB246557,Buick,EncoreFWD
278,17129,2015,19344,Saint Joseph, MO,KL4CJASBXFB140398,Buick,EncoreFWD
279,18893,2016,10873,Blair, NE,KL4CJASB2GB750572,Buick,EncoreFWD
280,18878,2016,5339,Lima, OH,KL4CJASB8GB626337,Buick,EncoreFWD
281,16473,2014,17809,Mechanicsburg, PA,KL4CJASB4EB770318,Buick,EncoreFWD
282,15989,2014,24613,Rainbow City, AL,KL4CJBSB5EB608414,Buick,EncoreConvenience
283,14900,2015,43214,Enterprise, AL,KL4CJASB9FB152025,Buick,EncoreFWD
284,19991,2017,2243,Prince Frederick, MD,KL4CJASB2HB083021,Buick,EncoreFWD
285,16250,2015,20306,Louisville, KY,KL4CJASB0FB153998,Buick,EncoreFWD
286,13585,2014,48694,Deerfield Beach, FL,KL4CJFSB4EB748963,Buick,EncoreConvenience
287,18411,2016,12756,Fort Lauderdale, FL,KL4CJASB4GB542161,Buick,EncoreFWD
288,16490,2015,17472,Duluth, GA,KL4CJASB3FB240536,Buick,EncoreFWD
289,16500,2015,17360,Phoenix, AZ,KL4CJASB8FB141663,Buick,EncoreFWD
290,14273,2016,55845,Russellville, KY,KL4CJASB5GB612475,Buick,EncoreFWD
291,15860,2014,26623,Daphne, AL,KL4CJASB7EB672738,Buick,EncoreFWD
292,17000,2015,16125,Rome, GA,KL4CJBSB8FB167587,Buick,EncoreConvenience
293,16000,2015,29061,Melbourne, FL,KL4CJASB7FB051291,Buick,EncoreFWD
294,15499,2015,29539,Chicago, IL,KL4CJFSB3FB216542,Buick,EncoreConvenience
295,18410,2016,10905,Coral Springs, FL,KL4CJASB1GB659275,Buick,EncoreFWD
296,16809,,23037,Gaithersburg, MD,KL4CJGSB4EB780978,Buick,EncoreLeather
297,14984,2014,37209,Alcoa, TN,KL4CJASB8EB727150,Buick,EncoreFWD
298,14749,2014,40049,Knoxville, TN,KL4CJFSB9EB693376,Buick,EncoreConvenience
299,3987,2007,150046,Sterling, IL,5GADV231X7D205011,Buick,Terraza4dr
300,16877,2015,30498,Paso Robles, CA,KL4CJASB3FB155325,Buick,EncoreFWD
301,16995,2014,22869,Colmar, PA,KL4CJFSB8EB775891,Buick,EncoreConvenience
302,19488,2017,8894,Tyler, TX,KL4CJASB7HB020058,Buick,EncoreFWD
303,17998,2015,13077,Newport News, VA,KL4CJASB5FB141605,Buick,EncoreFWD
304,15750,2015,26925,Louisville, KY,KL4CJASB7FB245609,Buick,EncoreFWD
305,16250,2015,20913,Louisville, KY,KL4CJASBXFB196020,Buick,EncoreFWD
306,17723,2015,16428,Newport News, VA,KL4CJASB0FB166783,Buick,EncoreFWD
307,14500,2014,33420,Charlotte, NC,KL4CJBSB1EB613982,Buick,EncoreConvenience
